LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Wyndham,144.6804061,-37.83335386,Tarneit,Tarneit Senior College,8854,0.0,0.0,0.0,263.0,265.0,413.0,941.0,Tarneit Senior College,23,0.7,67,44,53,98,TARNEIT
Campaspe,144.732423,-36.132394,Echuca,Echuca College,8855,80.0,86.0,103.0,119.0,114.8,90.8,593.6,Echuca College,24,0.7,51,78,7,99,ECHUCA
Monash,145.128686,-37.914221,Clayton,John Monash Science School,8856,0.0,0.0,0.0,197.0,231.0,231.5,659.5,John Monash Science School,36,22.5,99,100,-,100,CLAYTON
Hobsons Bay,144.818639,-37.861911,Altona,Altona College,8857,140.0,97.0,86.0,83.0,73.4,51.5,530.9,Altona College,26,3.9,41,81,4,100,ALTONA
Greater Dandenong,145.209011,-37.979418,Dandenong,Dandenong High School,8858,175.0,199.0,231.0,270.0,279.0,203.0,1357.0,Dandenong High School,25,1.7,73,77,27,95,DANDENONG
Hobsons Bay,144.7726329,-37.85617409,Laverton,Laverton P-12 College,8861,70.0,54.0,70.0,71.0,76.0,64.0,405.0,Laverton P-12 College,24,3.7,84,84,12,100,LAVERTON
Colac-Otway,143.5901021,-38.35149548,Colac,Colac Secondary College,8864,77.0,101.0,100.0,79.0,76.0,53.1,486.1,Colac Secondary College,23,0.0,33,79,9,93,COLAC
Casey,145.336563,-38.038502,Berwick,Nossal High School,8865,0.0,0.0,208.0,207.9,206.8,203.7,826.4,Nossal High School,36,27.6,100,64,-,100,BERWICK
Wyndham,144.700748,-37.893852,Werribee,Suzanne Cory High School,8866,0.0,0.0,208.0,233.0,242.9,242.3,926.2,Suzanne Cory High School,34,19.0,100,-,-,100,WERRIBEE
Casey,145.276556,-37.974606,Endeavour Hills,Gleneagles Secondary College,8869,184.0,179.0,181.0,247.0,218.0,248.5,1257.5,Gleneagles Secondary College,29,3.2,68,97,40,99,ENDEAVOUR HILLS
Alpine,146.7261447,-36.54888702,Myrtleford,Myrtleford P-12 College,8873,40.0,34.0,47.0,20.0,40.2,24.0,205.2,Myrtleford P-12 College,24,3.2,38,100,4,90,MYRTLEFORD
Casey,145.308716,-38.073127,Cranbourne North,Alkira Secondary College,8874,346.0,357.0,329.0,369.0,333.4,271.4,2005.8,Alkira Secondary College,29,2.8,67,88,59,96,CRANBOURNE NORTH
Mornington Peninsula,145.168595,-38.227257,Somerville,Somerville Secondary College,8875,120.0,135.0,142.0,110.0,61.5,38.3,606.8,Somerville Secondary College,28,0.0,63,64,7,100,SOMERVILLE
Loddon,143.726948,-36.110217,Boort,Boort District P-12 School,8882,12.0,13.0,18.0,17.0,17.7,20.7,98.4,Boort District P-12 School,30,6.2,70,96,4,96,BOORT
Moira,146.0066682,-36.02144074,Yarrawonga,Yarrawonga College P-12,8883,104.0,92.0,90.0,86.2,85.4,50.7,508.3,Yarrawonga College P-12,28,1.3,55,89,14,100,YARRAWONGA
Mitchell,145.1411167,-37.02984234,Seymour,Seymour College,8884,71.0,85.0,61.0,86.0,80.8,39.6,454.4,Seymour College,25,1.7,38,100,23,92,SEYMOUR
Mildura,142.0713085,-34.16936534,Merbein,Merbein P-10 College,8886,122.0,108.2,100.0,82.0,0.0,0.0,412.2,Merbein P-10 College,-,-,-,77,-,-,MERBEIN
Port Phillip,144.947363,-37.844792,Albert Park,Albert Park College,8889,281.0,266.0,269.0,261.9,330.1,255.0,1663.0,Albert Park College,31,9.0,84,75,7,99,ALBERT PARK
Darebin,145.05865,-37.728966,Macleod West,Charles La Trobe P-12 College,8890,43.0,53.0,85.0,93.0,91.7,137.5,503.2,Charles La Trobe P-12 College,-,-,18,47,15,68,PRESTON
East Gippsland,147.7240342,-37.26684449,Swifts Creek,Swifts Creek P-12 School,8892,9.0,9.0,9.0,10.0,8.0,11.0,56.0,Swifts Creek P-12 School,29,7.1,33,88,< 4,100,SWIFTS CREEK
Whittlesea,145.08833,-37.604853,Mernda,Mernda Central P-12 College,8897,258.0,195.0,205.0,173.0,157.0,133.0,1121.0,Mernda Central P-12 College,28,5.7,59,94,17,100,MERNDA
Greater Geelong,144.355709,-38.078406,Corio,Northern Bay P-12 College,8901,117.0,117.0,122.0,126.0,124.0,81.0,687.0,Northern Bay P-12 College,24,2.2,41,64,18,89,CORIO
Yarriambiack,142.3660296,-35.73486974,Hopetoun,Hopetoun P-12 College,8904,7.0,5.0,8.0,12.0,5.0,9.9,46.9,Hopetoun P-12 College,27,0.0,-,92,< 4,100,HOPETOUN
Cardinia,145.410967,-38.072015,Officer,Officer Secondary College,8907,190.0,185.6,174.0,156.0,130.6,174.1,1010.3,Officer Secondary College,28,4.2,52,75,39,94,OFFICER
Melton,144.740281,-37.731016,Caroline Springs,Lakeview Senior College,8910,0.0,0.0,0.0,381.0,344.0,323.8,1048.8,Lakeview Senior College,27,2.3,68,76,52,97,CAROLINE SPRINGS
Knox,145.293268,-37.8583,Boronia,Boronia K-12 College,8913,40.0,55.2,59.0,52.0,58.6,55.7,320.5,Boronia K-12 College,27,0.8,66,73,7,92,BORONIA
Benalla,145.963847,-36.553372,Benalla,Benalla P-12 College,8915,52.0,45.0,47.0,64.0,42.2,40.8,291.0,Benalla P-12 College,24,0.8,41,70,13,98,BENALLA
Melbourne,144.982144,-37.84883,MELBOURNE,Wesley College,1,344.0,373.0,361.0,385.0,374.0,386.0,2223.0,Wesley College,32,8.9,99,95,-,100,MELBOURNE
Stonnington,145.054637,-37.861454,GLEN IRIS,Korowa Anglican Girls' School,5,100.0,91.0,82.0,88.0,92.0,110.0,563.0,Korowa Anglican Girls' School,35,21.2,100,72,-,100,GLEN IRIS
Boroondara,145.039181,-37.811111,KEW,Ruyton Girls' School,83,85.0,94.0,68.0,86.0,90.0,92.0,515.0,Ruyton Girls' School,37,30.2,100,100,-,100,KEW
Glen Eira,145.004887,-37.877377,ST KILDA EAST,Caulfield Grammar School,96,454.0,454.0,428.0,478.0,492.0,497.0,2803.0,Caulfield Grammar School,33,17.2,96,92,-,100,WHEELERS HILL
Boroondara,145.038491,-37.813951,KEW,Methodist Ladies' College,259,275.0,265.0,281.0,287.0,300.5,302.0,1710.5,Methodist Ladies College,34,22.5,99,78,< 4,100,KEW
Ballarat,143.8336504,-37.55964761,BALLARAT,Ballarat Clarendon College,278,176.0,177.0,192.0,195.0,211.0,195.0,1146.0,Ballarat Clarendon College,37,34.7,93,100,-,100,BALLARAT
Boroondara,145.080326,-37.815158,BALWYN,Fintona Girls' School,385,61.0,60.0,58.0,59.0,58.0,51.0,347.0,Fintona Girls School,36,26.4,96,68,-,100,BALWYN
Stonnington,145.025089,-37.852317,ARMADALE,Lauriston Girls' School,391,115.0,113.0,100.0,94.0,93.0,109.0,624.0,Lauriston Girls School,35,20.3,100,74,-,100,ARMADALE
Greater Geelong,144.399071,-38.068817,CORIO,Geelong Grammar School,450,87.0,135.0,243.0,214.0,191.0,211.0,1081.0,Geelong Grammar School,32,8.7,85,99,6,99,CORIO
Melbourne,144.984803,-37.831692,SOUTH YARRA,Melbourne Girls Grammar,509,99.0,123.0,132.0,142.0,129.0,134.0,759.0,Melbourne Girls Grammar,36,28.7,96,100,-,100,SOUTH YARRA
Greater Geelong,144.3400898,-38.15241839,NEWTOWN,The Geelong College,510,167.0,181.0,184.0,180.0,189.0,164.0,1065.0,The Geelong College,33,14.5,88,100,-,100,NEWTOWN
Glenelg,141.605949,-38.345232,PORTLAND,Bayview College,545,57.0,58.0,65.5,43.0,34.0,40.2,297.7,Bayview College,27,1.4,74,88,< 4,100,PORTLAND
Whitehorse,145.107002,-37.848559,BURWOOD,Presbyterian Ladies' College,554,149.0,142.0,163.0,169.0,191.0,202.0,1016.0,Presbyterian Ladies' College,36,25.9,99,I/D,-,100,BURWOOD
Port Phillip,144.991548,-37.859549,ST KILDA,St Michael's Grammar School,818,134.0,126.0,148.0,148.0,144.0,145.0,845.0,St Michael's Grammar School,33,13.1,93,92,-,100,ST KILDA
Bayside,144.996936,-37.906118,BRIGHTON,Firbank Grammar School,879,125.0,107.0,91.0,114.0,129.0,124.0,690.0,Firbank Grammar School,34,19.2,100,100,-,100,BRIGHTON
Ballarat,143.83083,-37.539237,WENDOUREE,Ballarat Grammar,928,238.0,209.0,240.0,219.0,229.7,208.0,1343.7,Ballarat Grammar,32,11.7,81,100,13,100,WENDOUREE
Banyule,145.044477,-37.772515,IVANHOE,Ivanhoe Grammar School,1004,338.0,346.0,327.0,335.0,329.0,320.0,1995.0,Ivanhoe Grammar School,34,17.8,95,I/D,-,100,IVANHOE
Boroondara,145.032288,-37.833922,HAWTHORN,Scotch College,1021,258.0,232.0,254.0,272.0,262.0,257.0,1535.0,Scotch College,34,22.6,99,83,-,100,HAWTHORN
Bayside,145.007554,-37.928631,BRIGHTON EAST,St Leonard's College,1025,192.0,192.0,205.0,198.0,200.0,186.0,1173.0,St Leonard's College,34,15.6,96,96,-,100,BRIGHTON EAST
Maroondah,145.25669,-37.815515,RINGWOOD EAST,Tintern Grammar,1080,137.0,120.0,94.0,99.0,89.0,94.0,633.0,Tintern Grammar,34,17.3,92,93,-,99,RINGWOOD EAST
Stonnington,145.021269,-37.838296,TOORAK,St Catherine's School,1116,67.0,72.0,78.0,85.0,91.0,86.0,479.0,St Catherine's School,36,30.8,97,70,-,100,TOORAK
Moonee Valley,144.870337,-37.732154,KEILOR EAST,Penleigh & Essendon Grammar School,1144,334.0,306.0,304.0,307.0,304.0,303.0,1858.0,Penleigh & Essendon Grammar,34,16.3,96,I/D,-,100,KEILOR EAST
Kingston,145.068124,-37.987688,MENTONE,Mentone Grammar School,1183,290.0,292.0,275.0,252.0,249.0,210.0,1568.0,Mentone Grammar School,35,21.5,95,100,16,99,MENTONE
Banyule,145.046721,-37.765273,IVANHOE,Ivanhoe Girls' Grammar School,1187,112.0,124.0,98.0,111.0,77.0,108.2,630.2,Ivanhoe Girls' Grammar School,35,21.2,99,86,-,100,IVANHOE
Boroondara,145.047817,-37.814784,KEW,Carey Baptist Grammar School,1189,270.0,270.0,259.0,315.0,318.0,332.9,1764.9,Carey Baptist Grammar School,33,11.8,92,96,-,100,KEW
Glen Eira,145.04122,-37.89952,ORMOND,Kilvington Grammar School,1190,84.0,85.0,95.0,94.0,88.0,90.0,536.0,Kilvington Grammar School,33,18.3,99,100,-,100,ORMOND
Greater Dandenong,145.14643,-37.995979,KEYSBOROUGH,Haileybury College,1191,526.0,537.0,524.2,537.8,513.0,554.0,3192.0,Haileybury College,36,26.3,94,93,-,100,KEYSBOROUGH
Kingston,145.063465,-37.989375,MENTONE,Mentone Girls' Grammar School,1213,65.0,56.0,81.0,59.0,66.0,73.0,400.0,Mentone Girls' Grammar School,36,22.2,99,96,-,100,MENTONE
Wellington,147.064627,-38.093651,SALE,Gippsland Grammar,1218,105.0,102.0,97.0,106.0,92.0,73.0,575.0,Gippsland Grammar,31,9.8,78,95,-,99,SALE
Boroondara,145.066407,-37.816093,CANTERBURY,Camberwell Grammar School,1258,175.0,200.0,182.0,173.0,181.0,188.0,1099.0,Camberwell Grammar School,34,21.3,99,100,-,100,CANTERBURY
Bayside,144.993524,-37.911108,BRIGHTON,Brighton Grammar School,1262,170.0,172.0,177.0,179.0,175.0,174.0,1047.0,Brighton Grammar School,35,24.3,93,82,-,100,BRIGHTON
Whitehorse,145.118628,-37.832777,BOX HILL,Kingswood College,1304,81.0,72.0,65.0,68.0,64.0,57.0,407.0,Kingswood College,32,11.8,92,88,-,100,BOX HILL
Whitehorse,145.117774,-37.847216,BURWOOD,Mount Scopus Memorial College,1490,94.0,104.0,90.0,120.0,111.0,124.0,643.0,Mount Scopus Memorial College,37,30.8,98,96,-,100,BURWOOD
Glen Eira,145.008205,-37.883899,ELSTERNWICK,Adass Israel School,1515,31.0,30.0,37.0,34.0,31.0,18.0,181.0,Adass Israel School,-,-,-,73,12,80,ELSTERNWICK
Glen Eira,145.000341,-37.868122,ST KILDA EAST,Yeshivah College,1533,23.0,26.0,39.0,28.0,31.0,18.0,165.0,Yeshivah College,37,25.3,95,70,-,100,ST KILDA EAST
Glen Eira,145.000835,-37.869281,ST KILDA EAST,Beth Rivkah Ladies College,1561,54.0,39.4,43.0,41.2,34.0,35.0,246.6,Beth Rivkah Ladies College,35,23.5,61,100,7,100,ST KILDA EAST
Glen Eira,145.006626,-37.892871,ELSTERNWICK,Leibler Yavneh College,1609,36.0,44.0,50.0,48.0,54.0,51.0,283.0,Leibler Yavneh College,35,23.6,96,100,-,100,ELSTERNWICK
Boroondara,145.043371,-37.842269,HAWTHORN,Bialik College,1626,100.0,91.0,93.0,73.0,83.0,87.0,527.0,Bialik College,36,29.7,99,96,-,100,HAWTHORN
Maroondah,145.272909,-37.782963,CROYDON HILLS,Luther College,1633,227.0,215.0,212.0,211.0,192.0,173.7,1230.7,Luther College,32,10.8,87,99,-,100,CROYDON HILLS
Maroondah,145.258164,-37.783701,RINGWOOD,Yarra Valley Grammar,1658,261.0,257.0,252.0,237.0,199.0,204.0,1410.0,Yarra Valley Grammar School,35,21.0,93,100,-,100,RINGWOOD
Casey,145.278034,-37.970919,ENDEAVOUR HILLS,Maranatha Christian School,1679,101.0,102.0,83.0,92.0,72.0,67.7,517.7,Maranatha Christian School,31,7.7,70,94,11,100,ENDEAVOUR HILLS
Maroondah,145.248811,-37.777221,WARRANWOOD,Melbourne Rudolf Steiner School,1706,54.0,51.0,52.0,47.0,34.0,41.0,279.0,Melbourne Rudolf Steiner Schl,29,5.9,95,-,-,100,WARRANWOOD
Nillumbik,145.192232,-37.70044311,RESEARCH,Eltham College,1714,78.0,74.0,91.0,65.0,93.0,79.0,480.0,Eltham College,31,9.0,92,99,-,100,RESEARCH
Manningham,145.193451,-37.774028,DONVALE,Donvale Christian College,1724,155.0,155.0,157.0,159.0,144.0,148.5,918.5,Donvale Christian College,33,10.7,86,98,-,99,DONVALE
Macedon Ranges,144.5759811,-37.36382882,WOODEND,Braemar College,1734,171.0,150.0,156.0,155.0,132.0,143.0,907.0,Braemar College,32,7.2,83,90,-,99,WOODEND
Melton,144.763149,-37.724602,TAYLORS HILL,Gilson College,1742,105.0,99.0,94.0,96.0,100.0,86.0,580.0,Gilson College,27,2.9,79,96,7,100,TAYLORS HILL
Horsham,142.217749,-36.708181,HORSHAM,Holy Trinity Lutheran College,1767,52.0,37.0,49.0,27.0,23.0,44.0,232.0,Holy Trinity Lutheran College,30,8.8,64,98,4,100,HORSHAM
Knox,145.215299,-37.880135,WANTIRNA SOUTH,Waverley Christian College,1771,225.0,224.0,192.0,198.0,196.0,189.7,1224.7,Waverley Christian College,34,18.5,93,97,4,100,WANTIRNA SOUTH
Stonnington,145.010495,-37.858226,ARMADALE,The King David School,1773,57.0,60.0,59.0,49.0,72.0,47.0,344.0,The King David School,34,18.3,95,90,-,100,ARMADALE
Wyndham,144.724898,-37.850843,TRUGANINA,Westbourne Grammar School,1775,250.0,248.0,238.0,212.0,173.0,171.0,1292.0,Westbourne Grammar School,33,15.0,93,I/D,-,100,TRUGANINA
Whittlesea,145.0546707,-37.69501422,BUNDOORA,Northside Christian College,1787,51.0,52.0,48.0,44.0,46.0,38.0,279.0,Northside Christian College,30,13.1,87,86,4,100,BUNDOORA
Yarra Ranges,145.30513,-37.763573,CHIRNSIDE PARK,Oxley Christian College,1792,91.0,99.0,87.0,66.0,70.0,65.0,478.0,Oxley Christian College,34,21.9,89,100,-,100,CHIRNSIDE PARK
Greater Geelong,144.317997,-38.09719,BELL POST HILL,Covenant College,1794,71.0,65.0,71.0,64.0,59.0,52.0,382.0,Covenant College,29,3.0,70,92,9,100,BELL POST HILL
Bass Coast,145.272323,-38.488343,RHYLL,Newhaven College,1812,110.0,72.0,92.0,107.0,91.0,90.0,562.0,Newhaven College,30,5.1,75,95,-,99,RHYLL
Yarra Ranges,145.3388701,-37.78785168,MOOROOLBARK,Billanook College,1816,127.0,93.0,116.0,105.0,102.0,94.8,637.8,Billanook College,31,7.0,93,99,-,100,MOOROOLBARK
Southern Grampians,142.041488,-37.770832,HAMILTON,Good Shepherd College,1825,24.0,27.0,25.0,23.0,13.0,14.0,126.0,Good Shepherd College,24,0.0,47,87,4,88,HAMILTON
Nillumbik,145.138791,-37.613463,DOREEN,Plenty Valley Christian College,1826,81.0,80.0,81.0,79.0,76.0,65.0,462.0,Plenty Valley Christian College,29,5.1,71,92,-,97,DOREEN
Frankston,145.16302,-38.178632,LANGWARRIN SOUTH,Bayside Christian College,1837,59.0,67.0,49.0,59.0,51.0,39.0,324.0,Bayside Christian College,30,3.6,53,98,12,98,LANGWARRIN SOUTH
Greater Shepparton,145.415577,-36.327476,SHEPPARTON,Goulburn Valley Grammar School,1840,101.0,102.0,100.0,101.0,98.0,95.0,597.0,Goulburn Valley Grammar Schl,34,17.9,96,47,-,100,SHEPPARTON
Knox,145.219198,-37.865467,WANTIRNA SOUTH,The Knox School,1841,89.0,81.0,77.0,74.0,78.0,74.0,473.0,The Knox School,33,7.4,92,100,-,100,WANTIRNA SOUTH
Wyndham,144.681332,-37.881318,WERRIBEE,Heathdale Christian College,1846,219.0,171.0,161.0,158.0,142.0,118.0,969.0,Heathdale Christian College,30,5.6,96,92,8,100,WERRIBEE
Casey,145.363801,-38.084681,CLYDE NORTH,Hillcrest Christian College,1848,219.0,215.0,201.0,176.0,165.0,142.0,1118.0,Hillcrest Christian College,29,3.4,86,79,5,100,CLYDE NORTH
Baw Baw,145.930417,-38.147811,WARRAGUL,St Paul's Anglican Grammar School,1849,207.0,210.0,178.0,167.0,116.0,135.0,1013.0,St Paul's Anglican Grammar Schl,30,6.7,80,96,-,100,WARRAGUL
Cardinia,145.467319,-38.061898,PAKENHAM,Beaconhills College,1855,311.0,312.0,305.0,315.0,272.0,277.0,1792.0,Beaconhills College,31,7.9,83,99,-,100,BERWICK
Yarra Ranges,145.3462292,-37.91890282,BELGRAVE HEIGHTS,Belgrave Heights Christian School,1864,82.0,70.0,83.0,81.0,69.0,70.0,455.0,Belgrave Heights Christian Schl,29,2.4,78,80,9,100,BELGRAVE HEIGHTS
Monash,145.082819,-37.895907,OAKLEIGH,Oakleigh Grammar,1866,52.0,65.0,69.0,65.0,74.0,70.0,395.0,Oakleigh Grammar,31,4.7,82,I/D,-,97,OAKLEIGH
Gannawarra,143.913416,-35.730422,KERANG,Kerang Christian College,1869,16.0,17.0,7.0,12.0,10.0,10.0,72.0,Kerang Christian College,29,15.9,60,-,-,100,KERANG
Knox,145.244636,-37.873866,WANTIRNA SOUTH,St Andrews Christian College,1871,75.0,55.0,55.0,57.0,48.0,55.0,345.0,St Andrews Christian College,34,20.1,96,96,-,100,WANTIRNA SOUTH
Baw Baw,145.877116,-38.142837,DROUIN,Chairo Christian School,1872,171.0,138.0,160.0,128.0,119.0,124.0,840.0,Chairo Christian School,31,4.8,65,99,5,98,DROUIN
Mornington Peninsula,145.167984,-38.262117,TYABB,Flinders Christian Community College,1876,228.0,197.0,166.0,165.0,162.0,132.0,1050.0,Flinders Christian Comm College,29,2.3,76,92,5,100,TYABB
Wodonga,146.887345,-36.157173,LENEVA,Grace Christian College Wodonga,1886,23.0,11.0,11.0,15.0,13.0,18.0,91.0,Grace Christian College Wodonga,-,-,27,91,5,100,LENEVA
Melton,144.560281,-37.700276,BROOKFIELD,Melton Christian College,1894,106.0,119.0,98.0,102.0,73.0,59.0,557.0,Melton Christian College,26,0.8,79,70,11,100,BROOKFIELD
Warrnambool,142.506174,-38.362113,WARRNAMBOOL,King's College,1904,21.0,27.0,18.0,27.0,15.0,19.0,127.0,Kings College,29,6.1,44,88,-,100,WARRNAMBOOL
Wyndham,144.722023,-37.85265,TRUGANINA,Al-Taqwa College,1906,236.0,179.0,170.0,170.0,113.0,97.0,965.0,Al-Taqwa College,34,9.7,95,76,10,100,TRUGANINA
Yarra Ranges,145.631163,-37.79444291,YARRA JUNCTION,Little Yarra Steiner School,1914,29.0,29.0,26.0,20.0,20.0,21.7,145.7,Little Yarra Steiner School,29,0.0,23,-,-,100,YARRA JUNCTION
Moorabool,144.4315941,-37.69026649,BACCHUS MARSH,Bacchus Marsh Grammar,1919,421.0,386.0,402.0,377.0,307.0,245.0,2138.0,Bacchus Marsh Grammar,32,13.9,88,100,15,100,BACCHUS MARSH
Greater Dandenong,145.143501,-38.001204,KEYSBOROUGH,Lighthouse Christian College,1923,75.0,74.0,44.0,56.0,49.0,55.0,353.0,Lighthouse Christian College,30,3.2,88,95,5,100,KEYSBOROUGH
Yarra,145.036174,-37.780429,ALPHINGTON,Alphington Grammar School,1924,112.0,106.0,84.0,75.0,63.0,50.0,490.0,Alphington Grammar School,30,12.4,100,-,-,100,ALPHINGTON
Hume,144.931212,-37.65583,COOLAROO,St Mary's Coptic Orthodox College,1934,118.0,89.0,84.0,86.0,73.0,70.0,520.0,St Mary's Coptic Orth College,29,12.8,93,91,-,100,COOLAROO
Greater Dandenong,145.148625,-37.93904,SPRINGVALE,Minaret College,1936,225.0,236.0,186.0,193.0,183.0,177.0,1200.0,Minaret College,28,3.7,95,-,-,100,OFFICER
Greater Bendigo,144.2727264,-36.762612,BENDIGO,Girton Grammar School,1939,150.0,146.0,113.0,137.0,122.0,89.4,757.4,Girton Grammar School,31,9.4,80,80,4,100,BENDIGO
Greater Bendigo,144.313456,-36.782625,STRATHDALE,Victory Christian College,1946,108.2,109.0,81.0,77.0,56.0,53.7,484.9,Victory Christian College,29,7.3,63,59,-,100,STRATHDALE
Hume,144.930072,-37.668621,BROADMEADOWS,Ilim College,1947,231.0,226.0,207.0,196.0,164.0,162.0,1186.0,Ilim College,27,5.2,94,-,-,100,BROADMEADOWS
Greater Geelong,144.327997,-38.109881,BELL POST HILL,Kardinia International College,1953,251.0,247.0,228.0,228.0,241.0,238.0,1433.0,Kardinia Internatl College,32,12.6,89,100,-,100,BELL POST HILL
Wyndham,144.666605,-37.855248,TARNEIT,Good News Lutheran College,1957,131.0,131.0,133.0,133.0,135.0,109.0,772.0,Good News Lutheran College,31,7.4,99,97,-,99,TARNEIT
Hume,144.706022,-37.519099,SUNBURY,Red Rock Christian College,1960,22.0,21.0,21.0,18.0,13.0,18.0,113.0,Red Rock Christian College,27,0.0,27,-,-,100,SUNBURY
Cardinia,145.6236872,-38.08322193,TYNONG,St Thomas Aquinas College,1966,17.0,24.0,14.0,16.0,14.0,16.0,101.0,St Thomas Aquinas College,26,0.0,55,88,-,100,TYNONG
Hume,144.890698,-37.627709,GREENVALE,Aitken College,1978,156.0,156.0,154.0,155.0,150.0,141.0,912.0,Aitken College,28,4.6,91,99,8,99,GREENVALE
Boroondara,145.045173,-37.843225,HAWTHORN EAST,Alia College,1981,4.0,13.0,10.0,23.0,27.0,14.0,91.0,Alia College,24,2.1,38,I/D,-,81,HAWTHORN EAST
Greater Dandenong,145.175471,-38.013991,KEYSBOROUGH,Mt Hira College,1990,69.0,77.0,73.0,73.0,59.0,57.0,408.0,Mt Hira College,29,0.0,69,94,-,100,KEYSBOROUGH
Melton,144.228738,-36.781544,MELTON WEST,OneSchool Global Vic,1998,52.0,58.0,49.0,46.0,53.0,64.0,322.0,OneSchool Global Vic,31,7.6,2,98,-,100,MELTON WEST
Greater Geelong,144.330286,-38.067137,LOVELY BANKS,Geelong Baptist College,2000,16.0,32.0,24.0,29.0,12.0,33.2,146.2,Geelong Baptist College,24,2.5,44,98,< 4,87,LOVELY BANKS
Melbourne,144.954425,-37.812887,MELBOURNE,Ozford College,2016,0.0,0.0,0.0,5.0,41.0,53.0,99.0,Ozford College,20,0.0,38,-,-,83,MELBOURNE
Melbourne,144.972271,-37.810302,MELBOURNE,Holmes Grammar School,2024,0.0,0.0,0.0,0.0,18.0,41.0,59.0,Holmes Grammar School,28,0.0,39,90,9,96,MELBOURNE
Ballarat,143.8438075,-37.59292494,SEBASTOPOL,Ballarat Christian College,2045,56.0,37.0,46.0,42.0,25.0,22.2,228.2,Ballarat Christian College,25,0.0,63,83,6,100,SEBASTOPOL
Hume,144.931253,-37.56798,MICKLEHAM,Hume Anglican Grammar,2052,308.0,279.0,278.0,157.0,138.0,138.0,1298.0,Hume Anglican Grammar,30,9.4,92,95,-,100,MICKLEHAM
Greater Geelong,144.337067,-38.230458,ARMSTRONG CREEK,Geelong Lutheran College,2056,126.0,118.0,118.0,103.0,84.0,85.0,634.0,Geelong Lutheran College,30,6.2,61,75,10,100,ARMSTRONG CREEK
Whittlesea,145.0375337,-37.62426056,EPPING,Al Siraat College,2061,159.0,140.0,129.0,107.0,76.0,62.0,673.0,Al Siraat College,31,6.8,98,99,-,98,EPPING
Frankston,145.174648,-38.1926,LANGWARRIN SOUTH,Woodleigh School,2064,102.0,115.0,110.0,102.0,85.0,97.0,611.0,Woodleigh School,31,6.5,84,95,-,98,LANGWARRIN SOUTH
Melbourne,144.9770931,-37.83359283,MELBOURNE,Melbourne Grammar School,2072,203.0,200.0,207.0,218.0,214.0,208.0,1250.0,Melbourne Grammar School,36,28.0,98,I/D,-,100,MELBOURNE
Wyndham,144.660376,-37.854236,TARNEIT,Islamic College of Melbourne,2073,177.0,158.0,153.0,155.0,107.0,86.0,836.0,Islamic College of Melbourne,31,12.7,100,99,-,100,TARNEIT
Melton,144.7396024,-37.71396413,CAROLINE SPRINGS,Southern Cross Grammar,2074,100.0,100.0,99.0,95.0,80.0,75.0,549.0,Southern Cross Grammar,29,4.6,86,99,< 4,100,CAROLINE SPRINGS
Greater Dandenong,145.148761,-38.049197,BANGHOLME,Cornish College,2076,79.0,67.0,60.0,80.0,70.0,79.0,435.0,Cornish College,30,6.8,92,96,-,100,BANGHOLME
Merri-bek,144.9292633,-37.69777468,GLENROY,Glenroy Private,2080,57.0,61.0,47.0,27.0,18.0,14.0,224.0,Glenroy Private,23,0.0,100,-,-,100,GLENROY
Bayside,145.0350807,-37.90360104,ORMOND,Divrei Emineh,2083,2.0,8.0,17.0,8.0,6.0,4.0,45.0,Divrei Emineh,-,-,-,60,9,100,ORMOND
Moira,145.660055,-35.924283,COBRAM,Cobram Anglican Grammar School,2097,32.0,28.0,32.0,25.0,43.0,15.2,175.2,Cobram Anglican Grammar School,26,1.1,63,83,-,100,COBRAM
Macedon Ranges,144.5331946,-37.44570261,MACEDON,Alice Miller School,2101,51.0,43.0,43.0,41.0,45.0,37.0,260.0,Alice Miller School,32,12.2,77,84,-,100,MACEDON
Melton,144.5654845,-37.7071174,MELTON SOUTH,Al Iman College,2103,105.0,107.0,70.0,50.0,42.0,28.0,402.0,Al Iman College,26,0.8,71,-,-,100,MELTON SOUTH
Yarra Ranges,145.351985,-37.78489,LILYDALE,Edinburgh College,2104,74.0,66.0,64.0,53.0,35.0,40.0,332.0,Edinburgh College,28,1.0,68,87,-,100,LILYDALE
Melbourne,144.966653,-37.837307,SOUTH MELBOURNE,Youth2Industry College,2236,0.0,0.0,0.0,0.0,46.0,17.0,63.0,Youth2Industry College,-,-,26,65,17,89,SOUTH MELBOURNE
Whittlesea,145.08148,-37.64875,SOUTH MORANG,Plenty River College,2244,0.0,0.0,0.0,20.0,13.0,18.0,51.0,Plenty River College,-,-,-,28,6,100,SOUTH MORANG
